symbol,full_name,description,exchange,type,sector,logo_urls,exchange_logo,is_master
KPCL,KPCL,Kalika power Company Ltd,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e409165a2811726220566.png,/storage/stock-full-names/alpha-stocks/66e409165a2811726220566.png,True
KRBL,KRBL,Karnali Development Bank Limited,Development Banks src:Nepsealpha.com,stock,DEVBANK,/storage/stock-full-names/alpha-stocks/66e40904b4f021726220548.png,/storage/stock-full-names/alpha-stocks/66e40904b4f021726220548.png,False
KRBLPO,KRBLPO,Karnali Development Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/mk23NccctkEFaSbVqRSC.png,/storage/stock-full-names/March2022/mk23NccctkEFaSbVqRSC.png,False
KSBBL,KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks src:Nepsealpha.com,stock,DEVBANK,/storage/stock-full-names/alpha-stocks/66e4090e7b3d11726220558.png,/storage/stock-full-names/alpha-stocks/66e4090e7b3d11726220558.png,True
KSBBLP,KSBBLP,Kamana Sewa Bikas Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/June2025/j5AGx7jxwp03jX6mpis2.webp,/storage/stock-full-names/June2025/j5AGx7jxwp03jX6mpis2.webp,False
KSLY,KSLY,Kumari Sunaulo Lagani Yojana,Mutual Fund src:Nepsealpha.com,stock,MUTUAL,/storage/stock-full-names/March2023/vGqKI40acy1h7abR9BL9.jfif,/storage/stock-full-names/March2023/vGqKI40acy1h7abR9BL9.jfif,False
KSY,KSY,Kumari Sabal Yojana,Mutual Fund src:Nepsealpha.com,stock,MUTUAL,/storage/stock-full-names/alpha-stocks/66e40919596ae1726220569.png,/storage/stock-full-names/alpha-stocks/66e40919596ae1726220569.png,False
LBBL,LBBL,Lumbini Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock,DEVBANK,/storage/stock-full-names/alpha-stocks/66e40903bfc831726220547.png,/storage/stock-full-names/alpha-stocks/66e40903bfc831726220547.png,True
LBBLD89,LBBLD89,11% LBBL Debenture 2089,Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stock-full-names/May2023/n6s0lMY1qCZgIpILsAPF.jpg,/storage/stock-full-names/May2023/n6s0lMY1qCZgIpILsAPF.jpg,False
LBBLPO,LBBLPO,Lumbini Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/KLxCtRxm6IcqQegUP8cI.jpg,/storage/stock-full-names/March2022/KLxCtRxm6IcqQegUP8cI.jpg,False
LBL,LBL,Laxmi Bank Limited,Commercial Banks src:Nepsealpha.com,stock,BANKING,/storage/stock-full-names/March2022/1e9U1wmNO06msm6zDfEA.png,/storage/stock-full-names/March2022/1e9U1wmNO06msm6zDfEA.png,False
LBLD86,LBLD86,10% Laxmi Bank Debenture 2086,Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stock-full-names/alpha-stocks/66e4091bed4621726220571.png,/storage/stock-full-names/alpha-stocks/66e4091bed4621726220571.png,False
LBLPO,LBLPO,Laxmi Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/mlPX5PXFBRZYyCFumqSd.png,/storage/stock-full-names/March2022/mlPX5PXFBRZYyCFumqSd.png,False
LEC,LEC,Liberty Energy Company Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e409072cf181726220551.png,/storage/stock-full-names/alpha-stocks/66e409072cf181726220551.png,True
LEMF,LEMF,Laxmi Equity Fund,Mutual Fund src:Nepsealpha.com,stock,MUTUAL,/storage/stock-full-names/March2022/MJyxS1EOEKeQHbdGm7Cg.png,/storage/stock-full-names/March2022/MJyxS1EOEKeQHbdGm7Cg.png,False
LFC,LFC,Lalitpur Finance Ltd.,Finance src:Nepsealpha.com,stock,FINANCE,/storage/,/storage/,False
LFCPO,LFCPO,Lalitpur Finance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/,/storage/,False
LGIL,LGIL,Lumbini General Insurance Co. Ltd.,Non Life Insurance src:Nepsealpha.com,stock,NONLIFEINSU,/storage/stock-full-names/March2022/rwK6YdwaHBLXrdZwgK41.png,/storage/stock-full-names/March2022/rwK6YdwaHBLXrdZwgK41.png,False
LGILPO,LGILPO,Lumbini General Insurance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/YSJ6rE9RbHtnydAsASTy.png,/storage/stock-full-names/March2022/YSJ6rE9RbHtnydAsASTy.png,False
LICN,LICN,Life Insurance Co. Nepal,Life Insurance src:Nepsealpha.com,stock,LIFEINSU,/storage/stock-full-names/alpha-stocks/66e40916de58b1726220566.png,/storage/stock-full-names/alpha-stocks/66e40916de58b1726220566.png,True
LICNPO,LICNPO,Life Insurance Co. Nepal Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/EJ5RkjA8SHHOVcg1ImEu.png,/storage/stock-full-names/March2022/EJ5RkjA8SHHOVcg1ImEu.png,False
